Frame,X1,Y1,X2,Y2,Car_ID,Time
1,975,480,1057,513,1,10.033042669296265
1,1077,495,1161,528,2,10.033865928649902
2,967,481,1050,514,1,10.16539454460144
2,1071,495,1151,529,2,10.17990779876709
3,961,481,1047,514,1,10.314818620681763
3,1064,495,1149,530,2,10.314818620681763
4,954,480,1042,515,1,10.46360468864441
4,1058,495,1145,531,2,10.466145753860474
4,1160,485,1253,521,4,10.466145753860474
5,948,480,1036,515,1,10.6121187210083
5,1051,496,1138,531,2,10.6121187210083
5,1155,487,1238,521,4,10.6121187210083
6,941,480,1026,516,1,10.783506631851196
6,1045,495,1133,531,2,10.783506631851196
6,1147,488,1232,521,4,10.783506631851196
7,935,480,1022,516,1,10.927149534225464
7,1040,496,1129,532,2,10.927685260772705
7,1157,488,1234,522,4,10.928339719772339
8,930,481,1019,517,1,11.099491596221924
8,1034,496,1124,534,2,11.099491596221924
8,1143,488,1234,524,4,11.099491596221924
8,1325,497,1391,522,6,11.099491596221924
9,927,483,1015,518,1,11.228724718093872
9,1029,497,1121,536,2,11.228724718093872
9,1138,489,1232,525,4,11.228724718093872
9,1332,498,1389,523,6,11.228724718093872
10,923,484,1010,520,1,11.407395124435425
10,1025,499,1118,538,2,11.41026782989502
10,1134,490,1231,526,4,11.41026782989502
10,1320,500,1386,524,6,11.41026782989502
11,919,484,1008,521,1,11.598514318466187
11,1022,500,1115,539,2,11.598514318466187
11,1130,491,1228,528,4,11.6023428440094
11,1317,499,1384,526,6,11.6023428440094
12,913,486,1004,523,1,11.777832269668579
12,1018,502,1112,541,2,11.777832269668579
12,1128,492,1225,530,4,11.777832269668579
12,1314,500,1380,527,6,11.777832269668579
12,1227,497,1296,525,7,11.787358283996582
12,712,487,835,532,8,11.78837537765503
13,909,489,999,526,1,11.97189998626709
13,1013,503,1106,543,2,11.97189998626709
13,1124,494,1222,533,4,11.97189998626709
13,1312,503,1378,530,6,11.97189998626709
13,1226,499,1294,527,7,11.97189998626709
13,703,490,828,535,8,11.97189998626709
14,904,491,996,529,1,12.134385108947754
14,1005,506,1102,546,2,12.134385108947754
14,1119,497,1217,536,4,12.134385108947754
14,1309,507,1374,532,6,12.134385108947754
14,1217,501,1286,531,7,12.134385108947754
14,690,492,815,538,8,12.134385108947754
15,895,494,992,531,1,12.278667211532593
15,998,508,1097,549,2,12.279236316680908
15,1116,498,1214,537,4,12.279847145080566
15,1304,508,1370,534,6,12.280407428741455
15,1234,504,1285,533,7,12.280407428741455
15,676,495,806,541,8,12.281026363372803
16,890,496,984,532,1,12.44546389579773
16,992,509,1089,550,2,12.44546389579773
16,1111,499,1211,539,4,12.44546389579773
16,1301,509,1367,535,6,12.44546389579773
16,1213,505,1283,534,7,12.44546389579773
16,662,494,795,542,8,12.44546389579773
17,885,495,977,532,1,12.671280860900879
17,987,509,1088,550,2,12.671280860900879
17,1109,499,1206,539,4,12.67392897605896
17,1297,509,1366,536,6,12.674201250076294
17,1210,505,1280,534,7,12.675248384475708
17,650,494,787,543,8,12.675248384475708
18,880,494,974,532,1,12.833030462265015
18,981,509,1083,550,2,12.833030462265015
18,1106,498,1203,538,4,12.833030462265015
18,1295,508,1364,535,6,12.833030462265015
18,1213,504,1277,534,7,12.833030462265015
18,639,494,770,543,8,12.833030462265015
19,875,494,974,532,1,12.963019847869873
19,976,509,1079,550,2,12.963019847869873
19,1103,497,1202,538,4,12.963019847869873
19,1292,506,1363,535,6,12.963019847869873
19,1205,503,1275,534,7,12.963019847869873
19,626,494,763,542,8,12.963019847869873
20,871,494,973,532,1,13.099299669265747
20,971,508,1075,551,2,13.099299669265747
20,1098,496,1200,538,4,13.099299669265747
20,1290,505,1362,535,6,13.099299669265747
20,1201,503,1274,534,7,13.099299669265747
20,614,492,757,543,8,13.099299669265747
21,866,493,970,532,1,13.250969409942627
21,965,508,1070,551,2,13.250969409942627
21,1096,496,1196,538,4,13.250969409942627
21,1288,505,1360,534,6,13.250969409942627
21,1198,502,1272,533,7,13.250969409942627
21,600,492,749,543,8,13.250969409942627
22,859,494,963,532,1,13.431877374649048
22,959,509,1066,552,2,13.431877374649048
22,1093,496,1193,539,4,13.44136118888855
22,1286,505,1357,535,6,13.44136118888855
22,1194,503,1268,534,7,13.44136118888855
22,588,492,736,543,8,13.44136118888855
23,854,495,960,533,1,13.612782001495361
23,952,509,1062,554,2,13.613348245620728
23,1091,497,1191,540,4,13.613951921463013
23,1285,505,1354,536,6,13.61445951461792
23,1191,502,1266,535,7,13.61445951461792
23,573,492,728,545,8,13.615541696548462
24,848,495,953,535,1,13.778911352157593
24,944,509,1057,554,2,13.778911352157593
24,1088,497,1188,541,4,13.778911352157593
24,1282,506,1353,536,6,13.778911352157593
24,1188,502,1264,535,7,13.778911352157593
24,559,492,718,545,8,13.778911352157593
25,842,494,947,535,1,13.961709976196289
25,939,510,1053,555,2,13.961709976196289
25,1085,498,1184,542,4,13.961709976196289
25,1278,507,1350,536,6,13.961709976196289
25,1184,503,1262,535,7,13.961709976196289
25,544,491,708,546,8,13.961709976196289
26,837,494,948,535,1,14.235273361206055
26,932,511,1048,556,2,14.237760066986084
26,1081,498,1181,542,4,14.239285945892334
26,1277,507,1350,537,6,14.24138879776001
26,1181,503,1259,536,7,14.242530584335327
26,529,491,699,546,8,14.245842933654785
27,830,496,929,536,1,14.527089595794678
27,927,511,1044,557,2,14.527089595794678
27,1078,499,1178,543,4,14.527089595794678
27,1277,507,1347,538,6,14.527089595794678
27,1179,504,1257,537,7,14.527089595794678
27,513,490,686,547,8,14.535494565963745
28,824,495,932,536,1,14.741195678710938
28,919,512,1039,558,2,14.741763591766357
28,1075,500,1175,543,4,14.741763591766357
28,1275,507,1347,538,6,14.742268562316895
28,1177,504,1255,537,7,14.742806196212769
28,498,490,675,547,8,14.743346214294434
29,819,494,934,536,1,14.88161587715149
29,913,511,1033,558,2,14.88161587715149
29,1074,499,1174,543,4,14.88161587715149
29,1272,508,1345,537,6,14.88161587715149
29,1176,503,1254,537,7,14.88161587715149
29,481,489,662,548,8,14.88161587715149
30,815,494,931,536,1,15.009150505065918
30,906,511,1030,559,2,15.009150505065918
30,1073,498,1172,544,4,15.009150505065918
30,1272,507,1345,538,6,15.009150505065918
30,1173,502,1253,537,7,15.009150505065918
30,464,488,651,548,8,15.009150505065918
31,808,494,926,537,1,15.177764654159546
31,897,511,1025,560,2,15.178369760513306
31,1072,498,1172,545,4,15.179481744766235
31,1274,507,1349,538,6,15.180088520050049
31,1172,502,1253,538,7,15.181135416030884
31,442,488,636,549,8,15.18248438835144
32,800,495,920,538,1,15.339088439941406
32,889,512,1020,562,2,15.340250015258789
32,1071,499,1172,546,4,15.34080457687378
32,1275,507,1353,541,6,15.341347694396973
32,1174,504,1255,540,7,15.341891050338745
32,416,488,617,551,8,15.343409061431885
33,792,495,916,539,1,15.481353521347046
33,879,513,1008,564,2,15.481353521347046
33,1071,500,1173,547,4,15.481353521347046
33,1278,510,1355,542,6,15.481353521347046
33,1174,506,1257,541,7,15.481353521347046
33,391,487,591,552,8,15.481353521347046
34,783,495,912,542,1,15.615854263305664
34,871,513,1000,566,2,15.615854263305664
34,1069,500,1173,549,4,15.615854263305664
34,1281,510,1359,544,6,15.615854263305664
34,1176,506,1259,542,7,15.615854263305664
34,362,484,579,551,8,15.615854263305664
35,776,494,908,541,1,15.781368494033813
35,864,512,991,567,2,15.781368494033813
35,1070,499,1173,549,4,15.781368494033813
35,1282,511,1363,544,6,15.781368494033813
35,1175,505,1262,543,7,15.781368494033813
35,337,481,562,550,8,15.781368494033813
36,770,491,907,539,1,15.936068534851074
36,859,511,991,567,2,15.936068534851074
36,1070,499,1175,549,4,15.936068534851074
36,1285,510,1368,544,6,15.936068534851074
36,1178,504,1264,543,7,15.936068534851074
36,313,479,544,549,8,15.936068534851074
37,765,490,901,538,1,16.083397388458252
37,852,509,985,567,2,16.083397388458252
37,1072,498,1177,548,4,16.083397388458252
37,1289,510,1372,544,6,16.083397388458252
37,1181,504,1267,543,7,16.083397388458252
37,290,476,531,547,8,16.083397388458252
38,762,489,891,537,1,16.247385263442993
38,846,509,982,567,2,16.247925281524658
38,1074,498,1178,549,4,16.248512506484985
38,1293,509,1379,544,6,16.248512506484985
38,1183,504,1272,542,7,16.249019145965576
38,266,473,517,547,8,16.249626398086548
39,760,489,890,537,1,16.37416982650757
39,839,509,979,568,2,16.37416982650757
39,1076,497,1180,549,4,16.37416982650757
39,1298,508,1383,543,6,16.37416982650757
39,1185,504,1275,542,7,16.37416982650757
39,245,471,504,548,8,16.37416982650757
40,756,489,888,537,1,16.543747663497925
40,831,509,986,569,2,16.54875922203064
40,1079,497,1182,549,4,16.54875922203064
40,1303,507,1390,543,6,16.54875922203064
40,1188,503,1281,542,7,16.54875922203064
40,223,471,487,548,8,16.552457094192505
41,751,491,893,539,1,16.728118658065796
41,825,509,990,571,2,16.72901725769043
41,1080,499,1183,550,4,16.72968101501465
41,1304,508,1393,544,6,16.73034977912903
41,1192,504,1284,542,7,16.731037855148315
41,199,472,473,551,8,16.73222851753235
42,747,492,890,540,1,16.897881269454956
42,820,509,992,572,2,16.897881269454956
42,1080,501,1184,552,4,16.897881269454956
42,1308,508,1395,544,6,16.897881269454956
42,1195,504,1287,543,7,16.897881269454956
42,173,473,456,554,8,16.897881269454956
43,740,492,875,540,1,17.069831132888794
